No errors
No warnings
8 ms
data source=metars
120 results
"raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m"
"KJFK 220451Z 19009KT 10SM FEW070 11/04 A2979 RMK AO2 SLP089 T01110039 401940100,KJFK,2015-04-22T04:51:00Z,40.63,-73.77,11.1,3.9,190,9,,10.0,29.790354,1008.9,,,TRUE,,,,,,,FEW,7000,,,,,,,VFR,,,,19.4,10.0,,,,,,,SPECI,9.0"
"EHAM 220425Z 33004KT 5000 MIFG NSC 04/04 Q1031 BECMG BKN012,EHAM,2015-04-22T04:25:00Z,52.32,4.78,4.0,4.0,330,4,,3.11,30.442913,,,,,,,,,,MIFG,,,,,,,,,,,,,,,,,,,,,METAR,9.0"
"KSEA 220420Z 02007KT 6SM -RA SCT011 BKN016 OVC026 08/05 A3011 RMK AO2 P0011 $,KSEA,2015-04-22T04:20:00Z,47.45,-122.32,8.0,5.0,20,7,,6.0,30.109253,,,,TRUE,TRUE,,,,,-RA,SCT,1100,BKN,1600,OVC,2600,,,MVFR,,,,,,0.11,,,,,,METAR,136.0"
"PAED 220358Z AUTO 12010KT 10SM CLR 06/M09 A2990 RMK AO2 SLP122 T00641090,PAED,2015-04-22T03:58:00Z,61.25,-149.8,6.4,-9.0,120,10,,10.0,29.899607,1012.2,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,59.0"
"KSFO 220356Z 19007KT 10SM FEW010 BKN015 13/12 A2987 RMK AO2 SLP115 T01280117,KSFO,2015-04-22T03:56:00Z,37.62,-122.37,12.8,11.7,190,7,,10.0,29.870079,1011.5,,,TRUE,,,,,,,FEW,1000,BKN,1500,,,,,MVFR,,,,,,,,,,,,METAR,3.0"
"KLAS 220356Z 19011KT 9SM VCBLDU FEW120 SCT180 BKN220 24/M04 A2971 RMK AO2 SLP042 VIS LWR N-NE-SE T02391039,KLAS,2015-04-22T03:56:00Z,36.07,-115.17,23.9,-3.9,190,11,,9.0,29.71063,1004.2,,,TRUE,,,,,,VCBLDU,FEW,12000,SCT,18000,BKN,22000,,,VFR,,,,,,,,,,,,METAR,636.0"
"EHAM 220355Z 32004KT 4000 R18C/1700N R27/P2000N R18R/0300N R06/P2000N BCFG NSC 03/03 Q1031 TEMPO 1400 BCFG,EHAM,2015-04-22T03:55:00Z,52.32,4.78,3.0,3.0,320,4,,2.49,30.442913,,,,,,,,,,BCFG,,,,,,,,,,,,,,,,,,,,,METAR,9.0"
"KSEA 220353Z VRB04G22KT 4SM RA BKN011 OVC017 08/04 A3010 RMK AO2 SLP201 P0008 T00830039 $,KSEA,2015-04-22T03:53:00Z,47.45,-122.32,8.3,3.9,0,4,22,4.0,30.100393,1020.1,,,TRUE,TRUE,,,,,RA,BKN,1100,OVC,1700,,,,,MVFR,,,,,,0.08,,,,,,METAR,136.0"
"KDEN 220353Z 13004KT 10SM BKN090 OVC220 11/02 A2999 RMK AO2 SLP112 T01110022,KDEN,2015-04-22T03:53:00Z,39.85,-104.65,11.1,2.2,130,4,,10.0,29.991142,1011.2,,,TRUE,,,,,,,BKN,9000,OVC,22000,,,,,VFR,,,,,,,,,,,,METAR,1640.0"
"KLAX 220353Z 26009KT 10SM BKN050 BKN150 14/11 A2991 RMK AO2 SLP127 T01440106,KLAX,2015-04-22T03:53:00Z,33.93,-118.38,14.4,10.6,260,9,,10.0,29.911417,1012.7,,,TRUE,,,,,,,BKN,5000,BKN,15000,,,,,VFR,,,,,,,,,,,,METAR,46.0"
"KJFK 220351Z 19009KT 10SM FEW070 10/03 A2979 RMK AO2 SLP087 T01000028,KJFK,2015-04-22T03:51:00Z,40.63,-73.77,10.0,2.8,190,9,,10.0,29.790354,1008.7,,,TRUE,,,,,,,FEW,7000,,,,,,,VFR,,,,,,,,,,,,METAR,9.0"
"EHAM 220325Z 32004KT 4200 R18C/1300U R27/P2000N R18R/0375N R06/P2000N BCFG NSC 03/03 Q1032 TEMPO 4000 BR,EHAM,2015-04-22T03:25:00Z,52.32,4.78,3.0,3.0,320,4,,2.61,30.47244,,,,,,,,,,BCFG,,,,,,,,,,,,,,,,,,,,,METAR,9.0"
"KSEA 220314Z 12007KT 6SM RA BKN011 BKN017 OVC031 09/06 A3008 RMK AO2 PRESRR P0001 $,KSEA,2015-04-22T03:14:00Z,47.45,-122.32,9.0,6.0,120,7,,6.0,30.079725,,,,TRUE,TRUE,,,,,RA,BKN,1100,BKN,1700,OVC,3100,,,MVFR,,,,,,0.01,,,,,,METAR,136.0"
"KSEA 220305Z 10008KT 070V150 9SM -RA SCT013 OVC031 09/06 A3006 RMK AO2 P0000 $,KSEA,2015-04-22T03:05:00Z,47.45,-122.32,9.0,6.0,100,8,,9.0,30.059055,,,,TRUE,TRUE,,,,,-RA,SCT,1300,OVC,3100,,,,,VFR,,,,,,0.0050,,,,,,METAR,136.0"
"PAED 220258Z AUTO 14010KT 10SM CLR 07/M10 A2990 RMK AO2 SLP122 T00741098 57004,PAED,2015-04-22T02:58:00Z,61.25,-149.8,7.4,-9.8,140,10,,10.0,29.899607,1012.2,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,-0.4,,,,,,,,,,,SPECI,59.0"
"KSFO 220256Z 21007KT 10SM FEW010 BKN019 BKN200 13/12 A2986 RMK AO2 SLP111 T01330117 55006,KSFO,2015-04-22T02:56:00Z,37.62,-122.37,13.3,11.7,210,7,,10.0,29.861221,1011.1,,,TRUE,,,,,,,FEW,1000,BKN,1900,BKN,20000,,,MVFR,-0.6,,,,,,,,,,,METAR,3.0"
"KLAS 220256Z 22014KT 10SM FEW120 SCT180 BKN250 24/M04 A2969 RMK AO2 SLP033 T02441039 53000,KLAS,2015-04-22T02:56:00Z,36.07,-115.17,24.4,-3.9,220,14,,10.0,29.68996,1003.3,,,TRUE,,,,,,,FEW,12000,SCT,18000,BKN,25000,,,VFR,0.0,,,,,,,,,,,METAR,636.0"
"EHAM 220255Z 32003KT 4500 R18C/1900N R27/P2000N R18R/0450N R06/P2000N BCFG NSC 04/03 Q1032 NOSIG,EHAM,2015-04-22T02:55:00Z,52.32,4.78,4.0,3.0,320,3,,2.8,30.47244,,,,,,TRUE,,,,BCFG,,,,,,,,,,,,,,,,,,,,,METAR,9.0"
"KLAX 220253Z 28008KT 10SM FEW020 SCT150 14/11 A2990 RMK AO2 SLP122 T01440111 55000,KLAX,2015-04-22T02:53:00Z,33.93,-118.38,14.4,11.1,280,8,,10.0,29.899607,1012.2,,,TRUE,,,,,,,FEW,2000,SCT,15000,,,,,VFR,0.0,,,,,,,,,,,METAR,46.0"
"KSEA 220253Z 04016G21KT 10SM -RA FEW011 BKN027 OVC031 09/06 A3006 RMK AO2 RAB52 SLP185 P0000 60000 T00940056 52024 $,KSEA,2015-04-22T02:53:00Z,47.45,-122.32,9.4,5.6,40,16,21,10.0,30.059055,1018.5,,,TRUE,TRUE,,,,,-RA,FEW,1100,BKN,2700,OVC,3100,,,MVFR,2.4,,,,,0.0050,0.0050,,,,,METAR,136.0"
"KDEN 220253Z 04006KT 10SM FEW060 SCT100 BKN140 BKN200 12/00 A2996 RMK AO2 SLP105 T01170000 53014,KDEN,2015-04-22T02:53:00Z,39.85,-104.65,11.7,0.0,40,6,,10.0,29.958662,1010.5,,,TRUE,,,,,,,FEW,6000,SCT,10000,BKN,14000,BKN,20000,VFR,1.4,,,,,,,,,,,METAR,1640.0"
"KJFK 220251Z 19005KT 10SM CLR 11/02 A2978 RMK AO2 SLP084 T01110017 50010,KJFK,2015-04-22T02:51:00Z,40.63,-73.77,11.1,1.7,190,5,,10.0,29.778543,1008.4,,,TRUE,,,,,,,CLR,,,,,,,,VFR,1.0,,,,,,,,,,,METAR,9.0"
"EHAM 220225Z 33004KT 4500 R18C/P2000N R27/P2000N R18R/1000D R06/P2000N BCFG NSC 04/03 Q1032 BECMG 7000,EHAM,2015-04-22T02:25:00Z,52.32,4.78,4.0,3.0,330,4,,2.8,30.47244,,,,,,,,,,BCFG,,,,,,,,,,,,,,,,,,,,,METAR,9.0"
"PAED 220205Z AUTO 14014KT 10SM CLR 08/M09 A2990 RMK AO2 WSHFT 02,PAED,2015-04-22T02:05:00Z,61.25,-149.8,8.0,-9.0,140,14,,10.0,29.899607,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,59.0"
"PAED 220158Z AUTO 15012KT 10SM CLR 08/M09 A2990 RMK AO2 SLP122 T00781094,PAED,2015-04-22T01:58:00Z,61.25,-149.8,7.8,-9.4,150,12,,10.0,29.899607,1012.2,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,59.0"
"KSFO 220156Z 23009KT 10SM FEW014 BKN017 BKN200 14/12 A2986 RMK AO2 SLP111 T01390117,KSFO,2015-04-22T01:56:00Z,37.62,-122.37,13.9,11.7,230,9,,10.0,29.861221,1011.1,,,TRUE,,,,,,,FEW,1400,BKN,1700,BKN,20000,,,MVFR,,,,,,,,,,,,METAR,3.0"
"KLAS 220156Z 17013G21KT 10SM FEW120 SCT200 BKN250 26/M15 A2967 RMK AO2 SLP027 T02611150,KLAS,2015-04-22T01:56:00Z,36.07,-115.17,26.1,-15.0,170,13,21,10.0,29.66929,1002.7,,,TRUE,,,,,,,FEW,12000,SCT,20000,BKN,25000,,,VFR,,,,,,,,,,,,METAR,636.0"
"EHAM 220155Z 32004KT 8000 MIFG NSC 03/03 Q1032 BECMG 7000,EHAM,2015-04-22T01:55:00Z,52.32,4.78,3.0,3.0,320,4,,4.97,30.47244,,,,,,,,,,MIFG,,,,,,,,,,,,,,,,,,,,,METAR,9.0"
"KSEA 220153Z 05014G19KT 10SM FEW012 BKN016 OVC028 11/07 A3003 RMK AO2 SLP177 T01060067 $,KSEA,2015-04-22T01:53:00Z,47.45,-122.32,10.6,6.7,50,14,19,10.0,30.029528,1017.7,,,TRUE,TRUE,,,,,,FEW,1200,BKN,1600,OVC,2800,,,MVFR,,,,,,,,,,,,METAR,136.0"
"KDEN 220153Z 35005KT 10SM BKN100 BKN140 BKN200 13/01 A2994 RMK AO2 SLP104 VIRGA ALQDS T01330006,KDEN,2015-04-22T01:53:00Z,39.85,-104.65,13.3,0.6,350,5,,10.0,29.940945,1010.4,,,TRUE,,,,,,,BKN,10000,BKN,14000,BKN,20000,,,VFR,,,,,,,,,,,,METAR,1640.0"
"KLAX 220153Z 25010KT 10SM FEW020 SCT150 15/09 A2989 RMK AO2 SLP120 T01500089,KLAX,2015-04-22T01:53:00Z,33.93,-118.38,15.0,8.9,250,10,,10.0,29.890747,1012.0,,,TRUE,,,,,,,FEW,2000,SCT,15000,,,,,VFR,,,,,,,,,,,,METAR,46.0"
"KJFK 220151Z 23009KT 10SM CLR 13/00 A2979 RMK AO2 SLP087 T01330000,KJFK,2015-04-22T01:51:00Z,40.63,-73.77,13.3,0.0,230,9,,10.0,29.790354,1008.7,,,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,9.0"
"KSEA 220137Z 04010KT 10SM FEW012 BKN021 OVC032 11/07 A3002 RMK AO2 $,KSEA,2015-04-22T01:37:00Z,47.45,-122.32,11.0,7.0,40,10,,10.0,30.02067,,,,TRUE,TRUE,,,,,,FEW,1200,BKN,2100,OVC,3200,,,MVFR,,,,,,,,,,,,METAR,136.0"
"PAED 220126Z AUTO 10012G19KT 10SM SCT070 08/M09 A2990 RMK AO2 WSHFT 19,PAED,2015-04-22T01:26:00Z,61.25,-149.8,8.0,-9.0,100,12,19,10.0,29.899607,,,TRUE,TRUE,,,,,,,SCT,7000,,,,,,,VFR,,,,,,,,,,,,SPECI,59.0"
"EHAM 220125Z 32003KT 8000 MIFG NSC 05/04 Q1032 BECMG 7000,EHAM,2015-04-22T01:25:00Z,52.32,4.78,5.0,4.0,320,3,,4.97,30.47244,,,,,,,,,,MIFG,,,,,,,,,,,,,,,,,,,,,METAR,9.0"
"PAED 220058Z AUTO 09009KT 10SM CLR 07/M10 A2990 RMK AO2 SLP122 T00741098,PAED,2015-04-22T00:58:00Z,61.25,-149.8,7.4,-9.8,90,9,,10.0,29.899607,1012.2,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,59.0"
"KSFO 220056Z 23010KT 10SM FEW010 BKN017 14/12 A2987 RMK AO2 SLP114 T01390117,KSFO,2015-04-22T00:56:00Z,37.62,-122.37,13.9,11.7,230,10,,10.0,29.870079,1011.4,,,TRUE,,,,,,,FEW,1000,BKN,1700,,,,,MVFR,,,,,,,,,,,,METAR,3.0"
"KLAS 220056Z 17012G22KT 10SM FEW120 FEW200 SCT250 28/M14 A2967 RMK AO2 SLP027 T02781144,KLAS,2015-04-22T00:56:00Z,36.07,-115.17,27.8,-14.4,170,12,22,10.0,29.66929,1002.7,,,TRUE,,,,,,,FEW,12000,FEW,20000,SCT,25000,,,VFR,,,,,,,,,,,,METAR,636.0"
"EHAM 220055Z 34004KT 9000 NSC 04/03 Q1033 BECMG 7000,EHAM,2015-04-22T00:55:00Z,52.32,4.78,4.0,3.0,340,4,,5.59,30.501968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,9.0"
"KSEA 220053Z 05007G18KT 10SM FEW027 BKN036 OVC044 12/07 A3001 RMK AO2 SLP167 T01220072 $,KSEA,2015-04-22T00:53:00Z,47.45,-122.32,12.2,7.2,50,7,18,10.0,30.008858,1016.7,,,TRUE,TRUE,,,,,,FEW,2700,BKN,3600,OVC,4400,,,VFR,,,,,,,,,,,,SPECI,136.0"
"KDEN 220053Z 04010KT 10SM SCT100 BKN140 BKN200 14/00 A2991 RMK AO2 SLP096 VIRGA SW-W T01390000,KDEN,2015-04-22T00:53:00Z,39.85,-104.65,13.9,0.0,40,10,,10.0,29.911417,1009.6,,,TRUE,,,,,,,SCT,10000,BKN,14000,BKN,20000,,,VFR,,,,,,,,,,,,SPECI,1640.0"
"KLAX 220053Z 27012KT 10SM FEW050 SCT150 BKN200 16/09 A2989 RMK AO2 SLP121 T01610089,KLAX,2015-04-22T00:53:00Z,33.93,-118.38,16.1,8.9,270,12,,10.0,29.890747,1012.1,,,TRUE,,,,,,,FEW,5000,SCT,15000,BKN,20000,,,VFR,,,,,,,,,,,,SPECI,46.0"
"KJFK 220051Z 24008KT 10SM FEW070 14/01 A2978 RMK AO2 SLP083 T01440006,KJFK,2015-04-22T00:51:00Z,40.63,-73.77,14.4,0.6,240,8,,10.0,29.778543,1008.3,,,TRUE,,,,,,,FEW,7000,,,,,,,VFR,,,,,,,,,,,,METAR,9.0"
